Nº;RED;NIVEL;IPRESS;MES;AÑO;INDICADOR;SUB INDICADOR;NUMERADOR;DENOMINADOR
35;H.REF VICTOR RAMOS GUARDIA;II-2;H.REF VICTOR RAMOS GUARDIA;NOVIEMBRE;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;3,563;948
36;H.REF VICTOR RAMOS GUARDIA;II-2;H.REF VICTOR RAMOS GUARDIA;DICIEMBRE;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;3,376;1,028
37;RED DE SALUD HUAYLAS SUR;II-1;H.A. CARHUAZ;ENERO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;697;550
38;RED DE SALUD HUAYLAS SUR;II-1;H.A. CARHUAZ;FEBRERO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;768;305
39;RED DE SALUD HUAYLAS SUR;II-1;H.A. CARHUAZ;MARZO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;818;245
40;RED DE SALUD HUAYLAS SUR;II-1;H.A. CARHUAZ;ABRIL;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;749;252
41;RED DE SALUD HUAYLAS SUR;II-1;H.A. CARHUAZ;MAYO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;818;498
42;RED DE SALUD HUAYLAS SUR;II-1;H.A. CARHUAZ;JUNIO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;883;462
43;RED DE SALUD HUAYLAS SUR;II-1;H.A. CARHUAZ;JULIO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;1,133;579
44;RED DE SALUD HUAYLAS SUR;II-1;H.A. CARHUAZ;AGOSTO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;949;462
45;RED DE SALUD HUAYLAS SUR;II-1;H.A. CARHUAZ;SETIEMBRE;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;971;462
46;RED DE SALUD HUAYLAS SUR;II-1;H.A. CARHUAZ;OCTUBRE;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;1,112;390
47;RED DE SALUD HUAYLAS SUR;II-1;H.A. CARHUAZ;NOVIEMBRE;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;1,063;492
48;RED DE SALUD HUAYLAS SUR;II-1;H.A. CARHUAZ;DICIEMBRE;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;861;432
49;RED DE SALUD HUAYLAS NORTE;II-1;H.A. YUNGAY;ENERO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;995;392
50;RED DE SALUD HUAYLAS NORTE;II-1;H.A. YUNGAY;FEBRERO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;1,128;402
51;RED DE SALUD HUAYLAS NORTE;II-1;H.A. YUNGAY;MARZO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;1,220;451
52;RED DE SALUD HUAYLAS NORTE;II-1;H.A. YUNGAY;ABRIL;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;1,064;378
53;RED DE SALUD HUAYLAS NORTE;II-1;H.A. YUNGAY;MAYO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;1,112;396
54;RED DE SALUD HUAYLAS NORTE;II-1;H.A. YUNGAY;JUNIO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;1,090;396
55;RED DE SALUD HUAYLAS NORTE;II-1;H.A. YUNGAY;JULIO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;1,171;408
56;RED DE SALUD HUAYLAS NORTE;II-1;H.A. YUNGAY;AGOSTO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;1,432;471
57;RED DE SALUD HUAYLAS NORTE;II-1;H.A. YUNGAY;SETIEMBRE;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;1,347;528
58;RED DE SALUD HUAYLAS NORTE;II-1;H.A. YUNGAY;OCTUBRE;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;1,140;428
59;RED DE SALUD HUAYLAS NORTE;II-1;H.A. YUNGAY;NOVIEMBRE;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;1,177;438
60;RED DE SALUD HUAYLAS NORTE;II-1;H.A. YUNGAY;DICIEMBRE;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;1,131;452
61;RED DE SALUD HUAYLAS NORTE;II-1;H.A. CARAZ;ENERO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;1,398;570
62;RED DE SALUD HUAYLAS NORTE;II-1;H.A. CARAZ;FEBRERO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;1,362;492
63;RED DE SALUD HUAYLAS NORTE;II-1;H.A. CARAZ;MARZO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;1,342;498
64;RED DE SALUD HUAYLAS NORTE;II-1;H.A. CARAZ;ABRIL;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;1,180;588
65;RED DE SALUD HUAYLAS NORTE;II-1;H.A. CARAZ;MAYO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;1,354;600
66;RED DE SALUD HUAYLAS NORTE;II-1;H.A. CARAZ;JUNIO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;1,262;594
67;RED DE SALUD HUAYLAS NORTE;II-1;H.A. CARAZ;JULIO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;1,180;540
68;RED DE SALUD HUAYLAS NORTE;II-1;H.A. CARAZ;AGOSTO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;1,180;540
69;RED DE SALUD HUAYLAS NORTE;II-1;H.A. CARAZ;SETIEMBRE;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;1,235;594
70;RED DE SALUD HUAYLAS NORTE;II-1;H.A. CARAZ;OCTUBRE;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;1,310;642
71;RED DE SALUD HUAYLAS NORTE;II-1;H.A. CARAZ;NOVIEMBRE;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;1,145;564
72;RED DE SALUD HUAYLAS NORTE;II-1;H.A. CARAZ;DICIEMBRE;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;1,159;486
73;RED DE SALUD PACIFICO SUR;II-1;H.A. HUARMEY;ENERO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;1,045;346
74;RED DE SALUD PACIFICO SUR;II-1;H.A. HUARMEY;FEBRERO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;815;314
75;RED DE SALUD PACIFICO SUR;II-1;H.A. HUARMEY;MARZO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;923;314
76;RED DE SALUD PACIFICO SUR;II-1;H.A. HUARMEY;ABRIL;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;1,054;378
77;RED DE SALUD PACIFICO SUR;II-1;H.A. HUARMEY;MAYO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;1,250;556
78;RED DE SALUD PACIFICO SUR;II-1;H.A. HUARMEY;JUNIO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;1,379;392
79;RED DE SALUD PACIFICO SUR;II-1;H.A. HUARMEY;JULIO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;1,586;512
80;RED DE SALUD PACIFICO SUR;II-1;H.A. HUARMEY;AGOSTO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;1,694;582
81;RED DE SALUD PACIFICO SUR;II-1;H.A. HUARMEY;SETIEMBRE;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;2,090;564
82;RED DE SALUD PACIFICO SUR;II-1;H.A. HUARMEY;OCTUBRE;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;1,646;530
83;RED DE SALUD PACIFICO SUR;II-1;H.A. HUARMEY;NOVIEMBRE;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;1,736;542
84;RED DE SALUD PACIFICO SUR;II-1;H.A. HUARMEY;DICIEMBRE;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;1,250;500
85;RED DE SALUD PACIFICO SUR;II-1;H.A. CASMA;ENERO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;1,636;492
86;RED DE SALUD PACIFICO SUR;II-1;H.A. CASMA;FEBRERO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;1,635;486
87;RED DE SALUD PACIFICO SUR;II-1;H.A. CASMA;MARZO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;1,748;660
88;RED DE SALUD PACIFICO SUR;II-1;H.A. CASMA;ABRIL;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;1,809;630
89;RED DE SALUD PACIFICO SUR;II-1;H.A. CASMA;MAYO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;1,794;702
90;RED DE SALUD PACIFICO SUR;II-1;H.A. CASMA;JUNIO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;1,849;522
91;RED DE SALUD PACIFICO SUR;II-1;H.A. CASMA;JULIO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;1,951;504
92;RED DE SALUD PACIFICO SUR;II-1;H.A. CASMA;AGOSTO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;1,957;528
93;RED DE SALUD PACIFICO SUR;II-1;H.A. CASMA;SETIEMBRE;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;2,392;558
94;RED DE SALUD PACIFICO SUR;II-1;H.A. CASMA;OCTUBRE;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;2,203;672
95;RED DE SALUD PACIFICO SUR;II-1;H.A. CASMA;NOVIEMBRE;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;2,169;828
96;RED DE SALUD PACIFICO SUR;II-1;H.A. CASMA;DICIEMBRE;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;1,790;834
97;H. REF. ELEAZAR GUZMAN BARRON;II-2;H. REF. ELEAZAR GUZMAN BARRON;ENERO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;7,997;2,079
98;H. REF. ELEAZAR GUZMAN BARRON;II-2;H. REF. ELEAZAR GUZMAN BARRON;FEBRERO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;7,468;1,923
99;H. REF. ELEAZAR GUZMAN BARRON;II-2;H. REF. ELEAZAR GUZMAN BARRON;MARZO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;9,136;2,238
100;H. REF. ELEAZAR GUZMAN BARRON;II-2;H. REF. ELEAZAR GUZMAN BARRON;ABRIL;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;8,598;2,043
101;H. REF. ELEAZAR GUZMAN BARRON;II-2;H. REF. ELEAZAR GUZMAN BARRON;MAYO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;9,400;2,208
102;H. REF. ELEAZAR GUZMAN BARRON;II-2;H. REF. ELEAZAR GUZMAN BARRON;JUNIO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;8,146;1,926
103;H. REF. ELEAZAR GUZMAN BARRON;II-2;H. REF. ELEAZAR GUZMAN BARRON;JULIO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;8,500;2,048
104;H. REF. ELEAZAR GUZMAN BARRON;II-2;H. REF. ELEAZAR GUZMAN BARRON;AGOSTO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;9,285;2,134
105;H. REF. ELEAZAR GUZMAN BARRON;II-2;H. REF. ELEAZAR GUZMAN BARRON;SETIEMBRE;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;9,969;2,445
106;H. REF. ELEAZAR GUZMAN BARRON;II-2;H. REF. ELEAZAR GUZMAN BARRON;OCTUBRE;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;9,388;2,804
107;H. REF. ELEAZAR GUZMAN BARRON;II-2;H. REF. ELEAZAR GUZMAN BARRON;NOVIEMBRE;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;9,493;2,839
108;H. REF. ELEAZAR GUZMAN BARRON;II-2;H. REF. ELEAZAR GUZMAN BARRON;DICIEMBRE;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;9,934;2,615
109;H REF LA CALETA;II-2;H REF LA CALETA;ENERO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;6,750;1,680
110;H REF LA CALETA;II-2;H REF LA CALETA;FEBRERO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;5,943;1,490
111;H REF LA CALETA;II-2;H REF LA CALETA;MARZO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;6,662;1,670
112;H REF LA CALETA;II-2;H REF LA CALETA;ABRIL;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;6,996;1,738
113;H REF LA CALETA;II-2;H REF LA CALETA;MAYO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;6,620;1,610
114;H REF LA CALETA;II-2;H REF LA CALETA;JUNIO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;6,678;1,674
115;H REF LA CALETA;II-2;H REF LA CALETA;JULIO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;5,929;1,490
116;H REF LA CALETA;II-2;H REF LA CALETA;AGOSTO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;6,444;1,630
117;H REF LA CALETA;II-2;H REF LA CALETA;SETIEMBRE;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;6,737;1,709
118;H REF LA CALETA;II-2;H REF LA CALETA;OCTUBRE;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;7,397;1,865
119;H REF LA CALETA;II-2;H REF LA CALETA;NOVIEMBRE;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;6,920;1,732
120;H REF LA CALETA;II-2;H REF LA CALETA;DICIEMBRE;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;6,604;1,700
121;RED DE SALUD CONCHUCOS SUR;II-1;H.A. HUARI;ENERO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;620;1,166
122;RED DE SALUD CONCHUCOS SUR;II-1;H.A. HUARI;FEBRERO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;727;1,128
123;RED DE SALUD CONCHUCOS SUR;II-1;H.A. HUARI;MARZO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;737;1,128
124;RED DE SALUD CONCHUCOS SUR;II-1;H.A. HUARI;ABRIL;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;684;1,326
125;RED DE SALUD CONCHUCOS SUR;II-1;H.A. HUARI;MAYO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;742;1,062
126;RED DE SALUD CONCHUCOS SUR;II-1;H.A. HUARI;JUNIO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;691;1,650
127;RED DE SALUD CONCHUCOS SUR;II-1;H.A. HUARI;JULIO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;747;1,500
128;RED DE SALUD CONCHUCOS SUR;II-1;H.A. HUARI;AGOSTO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;615;1,500
129;RED DE SALUD CONCHUCOS SUR;II-1;H.A. HUARI;SETIEMBRE;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;658;1,500
130;RED DE SALUD CONCHUCOS SUR;II-1;H.A. HUARI;OCTUBRE;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;803;1,500
131;RED DE SALUD CONCHUCOS SUR;II-1;H.A. HUARI;NOVIEMBRE;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;567;1,650
132;RED DE SALUD CONCHUCOS SUR;II-1;H.A. HUARI;DICIEMBRE;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;462;1,536
133;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. POMABAMBA;ENERO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;1,080;322
134;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. POMABAMBA;FEBRERO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;814;228
135;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. POMABAMBA;MARZO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;971;287
136;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. POMABAMBA;ABRIL;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;867;279
137;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. POMABAMBA;MAYO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;685;299
138;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. POMABAMBA;JUNIO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;792;315
139;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. POMABAMBA;JULIO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;847;332
140;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. POMABAMBA;AGOSTO;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;908;335
141;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. POMABAMBA;SETIEMBRE;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;956;293
142;RED DE SALUD CONCHUCOS NORTE;II-1;H.A. POMABAMBA;OCTUBRE;2019;A. INDICADORES DE PRODUCCIÓN Y RENDIMIENTO;1 Productividad Hora Medico;1,138;320
